,transaction_id,user_id,genero,linea_tc,interes_tc,monto,fecha,hora,establecimiento,ciudad,status_txn,is_prime,dcto,cashback,fraude,anio,marca,proveedor
38,39,2647,M,88000,61,425.8,02/01/20,2,Compra en línea,Guadalajara,En proceso,True,0.0,12.77,False,2019,Samsung,Movistar
39,40,2684,F,72000,32,296.46,02/01/20,2,Compra en línea,Guadalajara,Aceptada,True,0.0,8.89,False,2018,Huawei,Movistar
40,41,2736,M,98000,53,649.46,02/01/20,2,Compra en línea,Monterrey,Aceptada,False,0.0,19.48,False,2021,Apple,ATT
41,42,2962,M,54000,35,550.31,02/01/20,2,Abarrotes,Ciudad de México,Aceptada,False,0.0,16.51,False,2021,Apple,Telcel
42,43,3402,F,29000,43,538.77,02/01/20,2,Compra en línea,Tijuana,Aceptada,False,0.0,16.16,False,2021,Motorola,Movistar
43,44,3863,M,74000,62,1120.22,02/01/20,2,Tienda departamental,Guadalajara,Rechazada,True,0.0,33.61,False,2021,Motorola,Telcel
44,45,54,F,35000,40,375.25,02/01/20,3,Supermercado,Tijuana,En proceso,False,0.0,11.26,False,2014,Motorola,ATT
45,46,215,M,50000,36,982.93,02/01/20,3,Compra en línea,Ciudad de México,Aceptada,False,0.0,29.49,False,2018,Huawei,Telcel
46,47,457,M,97000,42,537.38,02/01/20,3,Tienda departamental,Monterrey,En proceso,False,0.0,26.87,False,2021,Motorola,ATT
47,48,595,F,29000,60,1.0,02/01/20,3,Compra en línea,Ciudad de México,Aceptada,False,0.0,0.03,False,2021,Samsung,Telcel
48,49,669,F,55000,41,327.19,02/01/20,3,Compra en línea,Nezahualcóyotl,Rechazada,False,0.0,9.82,False,2018,Apple,ATT
49,50,2023,M,33000,40,556.97,02/01/20,3,Unknown,Nezahualcóyotl,En proceso,False,0.0,27.85,False,2018,Huawei,Telcel
50,51,2073,M,60000,62,261.82,02/01/20,3,Supermercado,Monterrey,Aceptada,False,0.0,18.33,False,2018,Samsung,Telcel
51,52,2155,F,68000,47,623.85,02/01/20,3,Supermercado,Monterrey,Aceptada,False,0.0,18.72,False,2021,Samsung,Telcel
52,53,2331,F,98000,61,659.46,02/01/20,3,Unknown,Monterrey,Aceptada,True,0.0,32.97,False,2020,Samsung,ATT
53,54,3626,F,75000,34,359.62,02/01/20,3,Unknown,Monterrey,Aceptada,False,0.0,10.79,False,2020,Huawei,ATT
54,55,3663,M,93000,61,316.48,02/01/20,3,Unknown,Monterrey,Rechazada,False,0.0,9.49,False,2019,Huawei,ATT
55,56,3805,M,51000,54,926.75,02/01/20,3,Tienda departamental,Guadalajara,Aceptada,False,0.0,46.34,False,2021,Samsung,Telcel
56,57,3923,F,38000,40,597.01,02/01/20,3,Tienda departamental,Nezahualcóyotl,En proceso,False,0.0,17.91,False,2021,Huawei,ATT
57,58,285,M,95000,46,222.93,02/01/20,4,Compra en línea,Tijuana,Aceptada,False,0.0,6.69,False,2019,Motorola,Telcel
58,59,309,F,74000,32,395.41,02/01/20,4,Compra en línea,Toluca,Aceptada,False,19.77,11.86,True,2017,Apple,ATT
59,60,506,M,56000,32,1067.77,02/01/20,4,Supermercado,Toluca,Rechazada,False,0.0,32.03,False,2018,Motorola,Movistar
60,61,733,N,71000,38,788.5,02/01/20,4,Compra en línea,Toluca,Aceptada,True,0.0,23.66,False,2021,Samsung,Movistar
61,62,772,M,76000,38,448.23,02/01/20,4,Compra en línea,Nezahualcóyotl,En proceso,False,22.41,13.45,False,2018,Samsung,Telcel
62,63,894,M,58000,38,1055.19,02/01/20,4,Supermercado,Nezahualcóyotl,Aceptada,False,0.0,31.66,False,2018,Samsung,Telcel
63,64,1419,M,99000,42,1.0,02/01/20,4,Compra en línea,Toluca,Aceptada,False,0.0,0.03,False,2019,Samsung,Telcel
64,65,1431,F,96000,39,252.77,02/01/20,4,Tienda departamental,Ciudad de México,Aceptada,False,0.0,7.58,False,2018,Apple,Telcel
65,66,1482,F,50000,58,1.0,02/01/20,4,Tienda departamental,Guadalajara,Aceptada,False,0.0,0.03,False,2021,Motorola,Telcel
66,67,1589,M,76000,47,803.48,02/01/20,4,Compra en línea,Guadalajara,Aceptada,False,0.0,24.1,False,2019,Samsung,Telcel
67,68,1603,F,54000,54,183.34,02/01/20,4,Abarrotes,Tijuana,Aceptada,False,0.0,5.5,False,2018,Apple,Telcel
68,69,1692,M,99000,60,611.74,02/01/20,4,Compra en línea,Nezahualcóyotl,Aceptada,False,0.0,18.35,False,2020,Motorola,Telcel
69,70,1753,F,86000,64,250.97,02/01/20,4,Abarrotes,Tijuana,Aceptada,False,0.0,7.53,False,2019,Motorola,Telcel
70,71,2019,F,54000,33,642.12,02/01/20,4,Supermercado,Guadalajara,Rechazada,False,0.0,44.95,True,2017,Huawei,Telcel
71,72,2267,M,58000,37,371.35,02/01/20,4,Compra en línea,Monterrey,En proceso,False,18.57,11.14,False,2019,Motorola,Telcel
72,73,2359,N,28000,59,298.4,02/01/20,4,Farmacia,Guadalajara,Aceptada,False,0.0,8.95,False,2015,Samsung,Movistar
73,74,2384,F,75000,37,440.68,02/01/20,4,Compra en línea,Nezahualcóyotl,Aceptada,True,0.0,13.22,False,2014,Huawei,Movistar
74,75,2445,M,81000,44,129.28,02/01/20,4,Tienda departamental,Nezahualcóyotl,Aceptada,False,0.0,6.46,False,2020,Samsung,Movistar
75,76,2535,N,45000,34,619.96,02/01/20,4,Unknown,Monterrey,Rechazada,False,0.0,18.6,False,2018,Samsung,ATT
76,77,2751,M,80000,43,621.34,02/01/20,4,Supermercado,Monterrey,Aceptada,True,0.0,18.64,False,2020,Motorola,ATT
77,78,2765,N,46000,37,1.0,02/01/20,4,Abarrotes,Ciudad de México,Aceptada,False,0.0,0.03,False,2020,Apple,Movistar
78,79,2960,F,35000,60,649.7,02/01/20,4,Tienda departamental,Tijuana,Aceptada,False,0.0,19.49,False,2015,Samsung,ATT
79,80,3436,M,46000,46,1273.74,02/01/20,4,Supermercado,Tijuana,Aceptada,False,0.0,38.21,False,2021,Samsung,Telcel
80,81,3527,F,33000,49,329.49,02/01/20,4,Compra en línea,Monterrey,En proceso,False,0.0,16.47,False,2018,Samsung,Movistar
81,82,3586,F,84000,51,803.57,02/01/20,4,Abarrotes,Ciudad de México,Aceptada,False,0.0,24.11,False,2021,Samsung,Telcel
82,83,3600,M,55000,35,442.41,02/01/20,4,Supermercado,Toluca,Aceptada,False,0.0,22.12,False,2021,Apple,Movistar
83,84,3648,F,83000,51,510.51,02/01/20,4,Tienda departamental,Monterrey,Aceptada,False,25.53,15.32,False,2020,Huawei,Telcel
84,85,3760,M,85000,62,611.91,02/01/20,4,Farmacia,Monterrey,En proceso,False,0.0,30.6,False,2020,Huawei,Movistar
85,86,3973,M,61000,61,351.97,02/01/20,4,Supermercado,Nezahualcóyotl,Aceptada,False,0.0,17.6,True,2016,Samsung,Telcel
86,87,120,M,70000,35,593.96,02/01/20,5,Unknown,Ciudad de México,Aceptada,True,0.0,17.82,False,2019,Samsung,Telcel
87,88,203,M,28000,49,1112.54,02/01/20,5,Unknown,Guadalajara,Aceptada,False,0.0,33.38,False,2017,Apple,Telcel
88,89,665,M,57000,51,529.45,02/01/20,5,Farmacia,Monterrey,Aceptada,True,0.0,15.88,False,2018,Samsung,Telcel
89,90,842,N,97000,44,737.47,02/01/20,5,Compra en línea,Tijuana,Aceptada,False,0.0,51.62,True,2018,Apple,Telcel
90,91,919,F,79000,35,792.09,02/01/20,5,Abarrotes,Guadalajara,En proceso,False,0.0,23.76,False,2019,Huawei,Telcel
91,92,1023,M,37000,52,731.27,02/01/20,5,Farmacia,Monterrey,Aceptada,False,0.0,21.94,False,2020,Motorola,Telcel
92,93,1039,M,90000,48,587.5,02/01/20,5,Tienda departamental,Monterrey,Aceptada,True,29.38,17.63,False,2019,Motorola,Telcel
93,94,1068,F,29000,50,479.67,02/01/20,5,Farmacia,Ciudad de México,En proceso,False,0.0,14.39,False,2014,Motorola,ATT
94,95,1083,M,25000,44,275.88,02/01/20,5,Compra en línea,Monterrey,Aceptada,False,0.0,13.79,False,2020,Samsung,Telcel
95,96,1192,F,54000,50,958.9,02/01/20,5,Compra en línea,Ciudad de México,Aceptada,False,0.0,28.77,False,2020,Samsung,Telcel
96,97,1304,M,67000,60,758.14,02/01/20,5,Farmacia,Ciudad de México,Aceptada,False,0.0,22.74,False,2019,Samsung,ATT
97,98,1381,M,91000,46,480.4,02/01/20,5,Supermercado,Guadalajara,Aceptada,False,0.0,14.41,False,2019,Samsung,Telcel
98,99,1446,M,36000,61,489.87,02/01/20,5,Compra en línea,Monterrey,Rechazada,False,24.49,14.7,False,2017,Apple,ATT
99,100,1743,M,35000,64,990.53,02/01/20,5,Farmacia,Guadalajara,Aceptada,False,0.0,29.72,False,2018,Apple,Telcel
100,101,1766,N,39000,37,401.03,02/01/20,5,Compra en línea,Tijuana,Aceptada,False,0.0,12.03,False,2016,Motorola,Telcel
101,102,2078,M,40000,37,696.09,02/01/20,5,Tienda departamental,Monterrey,Aceptada,False,0.0,48.73,False,2020,Samsung,Telcel
102,103,2085,N,88000,43,502.38,02/01/20,5,Farmacia,Guadalajara,Aceptada,False,0.0,15.07,False,2019,Huawei,Movistar
103,104,2363,M,29000,63,833.3,02/01/20,5,Tienda departamental,Toluca,Aceptada,False,0.0,25.0,False,2021,Samsung,ATT
104,105,2640,M,81000,51,848.99,02/01/20,5,Tienda departamental,Cancún,Aceptada,False,0.0,25.47,False,2020,Apple,Telcel
105,106,2671,N,87000,51,116.57,02/01/20,5,Abarrotes,Nezahualcóyotl,Aceptada,False,0.0,3.5,False,2022,Motorola,Telcel
106,107,2868,F,31000,44,575.05,02/01/20,5,Abarrotes,Tijuana,En proceso,True,0.0,17.25,False,2019,Motorola,ATT
107,108,2923,M,55000,32,755.46,02/01/20,5,Farmacia,Monterrey,Aceptada,False,37.77,22.66,False,2016,Samsung,Telcel
108,109,3106,F,51000,46,550.76,02/01/20,5,Tienda departamental,Nezahualcóyotl,En proceso,False,0.0,16.52,False,2017,Apple,ATT
109,110,3346,F,54000,55,622.03,02/01/20,5,Compra en línea,Tijuana,En proceso,True,31.1,18.66,False,2019,Huawei,ATT
110,111,3413,N,49000,61,176.95,02/01/20,5,Compra en línea,Monterrey,Aceptada,False,0.0,5.31,False,2021,Samsung,ATT
111,112,3492,F,59000,32,231.83,02/01/20,5,Compra en línea,Guadalajara,Aceptada,False,11.59,6.95,False,2020,Apple,Telcel
112,113,3703,F,74000,52,392.1,02/01/20,5,Compra en línea,Monterrey,En proceso,True,19.61,11.76,False,2017,Samsung,ATT
113,114,96,F,64000,41,939.41,02/01/20,6,Compra en línea,Monterrey,Aceptada,False,0.0,28.18,False,2017,Apple,Telcel
114,115,186,M,54000,48,640.34,02/01/20,6,Compra en línea,Ciudad de México,Aceptada,False,0.0,19.21,False,2019,Huawei,Telcel
115,116,250,M,55000,43,258.59,02/01/20,6,Abarrotes,Guadalajara,Aceptada,False,0.0,12.93,False,2020,Samsung,Movistar
116,117,467,F,42000,33,500.3,02/01/20,6,Compra en línea,Ciudad de México,Aceptada,True,0.0,25.02,False,2019,Motorola,ATT
117,118,522,N,79000,51,319.44,02/01/20,6,Compra en línea,Ciudad de México,Aceptada,False,0.0,9.58,False,2019,Motorola,Movistar
118,119,617,F,85000,59,1021.71,02/01/20,6,Tienda departamental,Guadalajara,Aceptada,False,51.09,30.65,False,2017,Samsung,Movistar
119,120,681,N,33000,33,385.95,02/01/20,6,Compra en línea,Tijuana,En proceso,False,0.0,19.3,False,2013,Samsung,Telcel
120,121,785,F,46000,51,302.24,02/01/20,6,Unknown,Nezahualcóyotl,En proceso,False,0.0,9.07,False,2021,Apple,ATT
121,122,1030,M,32000,39,259.3,02/01/20,6,Unknown,Monterrey,Aceptada,False,12.97,7.78,False,2021,Motorola,ATT
122,123,1107,M,52000,58,311.52,02/01/20,6,Tienda departamental,Nezahualcóyotl,En proceso,True,0.0,9.35,False,2021,Huawei,ATT
123,124,2034,M,65000,48,642.63,02/01/20,6,Tienda departamental,Guadalajara,En proceso,True,0.0,19.28,False,2017,Samsung,Telcel
124,125,2160,M,80000,62,316.79,02/01/20,6,Unknown,Toluca,En proceso,True,0.0,15.84,False,2020,Apple,ATT
125,126,2193,F,33000,40,1040.0,02/01/20,6,Tienda departamental,Monterrey,Aceptada,False,0.0,31.2,False,2021,Apple,Movistar
126,127,2226,M,50000,50,478.47,02/01/20,6,Supermercado,Monterrey,Aceptada,False,23.92,14.35,False,2021,Motorola,ATT
127,128,2339,N,35000,32,929.29,02/01/20,6,Farmacia,Guadalajara,Aceptada,True,46.46,27.88,False,2018,Huawei,Telcel
128,129,2589,F,91000,51,721.23,02/01/20,6,Compra en línea,Guadalajara,En proceso,False,0.0,21.64,False,2020,Huawei,ATT
129,130,2970,M,52000,35,654.7,02/01/20,6,Farmacia,Tijuana,En proceso,False,32.74,19.64,False,2014,Huawei,Telcel
130,131,3151,N,86000,46,630.81,02/01/20,6,Supermercado,Monterrey,En proceso,True,31.54,31.54,False,2019,Apple,Telcel
131,132,3427,M,58000,36,359.18,02/01/20,6,Farmacia,Nezahualcóyotl,Aceptada,False,0.0,10.78,False,2020,Samsung,ATT
132,133,3642,F,26000,51,279.04,02/01/20,6,Compra en línea,Ciudad de México,En proceso,True,0.0,8.37,False,2020,Apple,Movistar
133,134,3826,F,71000,63,380.09,02/01/20,6,Supermercado,Monterrey,Aceptada,False,0.0,11.4,False,2019,Samsung,Telcel
134,135,74,F,43000,38,418.56,02/01/20,7,Compra en línea,Nezahualcóyotl,En proceso,False,0.0,12.56,False,2020,Motorola,Movistar
135,136,287,M,86000,44,879.54,02/01/20,7,Abarrotes,Guadalajara,Aceptada,False,43.98,61.57,False,2016,Samsung,Telcel
136,137,406,N,61000,48,986.61,02/01/20,7,Compra en línea,Monterrey,Aceptada,False,0.0,29.6,False,2021,Apple,Movistar
137,138,484,M,29000,58,655.79,02/01/20,7,Tienda departamental,Ciudad de México,Aceptada,False,0.0,19.67,True,2017,Huawei,ATT
138,139,749,M,59000,54,563.78,02/01/20,7,Tienda departamental,Monterrey,Aceptada,False,0.0,16.91,False,2019,Apple,Telcel
139,140,1018,F,35000,60,236.63,02/01/20,7,Farmacia,Guadalajara,Rechazada,False,0.0,7.1,False,2018,Apple,Telcel
140,141,1036,F,87000,47,172.73,02/01/20,7,Tienda departamental,Guadalajara,Aceptada,False,0.0,5.18,False,2018,Huawei,ATT
141,142,1104,F,57000,48,307.37,02/01/20,7,Compra en línea,Tijuana,Rechazada,False,0.0,9.22,False,2018,Huawei,ATT
142,143,1187,F,51000,60,421.17,02/01/20,7,Farmacia,Monterrey,Aceptada,False,0.0,12.64,False,2020,Motorola,Movistar
143,144,1193,M,41000,63,366.04,02/01/20,7,Tienda departamental,Guadalajara,Aceptada,False,18.3,10.98,False,2020,Samsung,Telcel
144,145,1338,M,63000,49,952.6,02/01/20,7,Tienda departamental,Ciudad de México,Aceptada,False,0.0,28.58,False,2017,Apple,ATT
145,146,1643,M,43000,52,332.61,02/01/20,7,Tienda departamental,Monterrey,Aceptada,False,16.63,9.98,False,2021,Apple,Telcel
146,147,1739,M,42000,55,474.36,02/01/20,7,Unknown,Guadalajara,Aceptada,False,23.72,14.23,False,2020,Motorola,ATT
147,148,1854,M,46000,53,784.54,02/01/20,7,Tienda departamental,Nezahualcóyotl,Aceptada,False,0.0,23.54,False,2015,Samsung,Telcel
148,149,1872,M,76000,42,304.57,02/01/20,7,Abarrotes,Ciudad de México,En proceso,False,0.0,9.14,False,2020,Samsung,Movistar
149,150,1976,F,57000,46,7.36,02/01/20,7,Tienda departamental,Monterrey,En proceso,False,0.0,0.22,False,2020,Samsung,Telcel
150,151,2046,M,60000,34,991.32,02/01/20,7,Farmacia,Nezahualcóyotl,En proceso,False,0.0,29.74,False,2019,Apple,ATT
151,152,2085,N,88000,43,549.34,02/01/20,7,Farmacia,Guadalajara,Aceptada,False,0.0,27.47,False,2019,Huawei,Movistar
152,153,2095,F,51000,62,522.19,02/01/20,7,Tienda departamental,Nezahualcóyotl,Aceptada,False,0.0,15.67,False,2019,Apple,Telcel
153,154,2153,F,82000,63,509.91,02/01/20,7,Unknown,Nezahualcóyotl,Aceptada,False,25.5,15.3,False,2019,Motorola,Movistar
154,155,2610,M,48000,33,421.1,02/01/20,7,Tienda departamental,Toluca,Aceptada,False,0.0,12.63,False,2016,Motorola,Telcel
155,156,2640,M,81000,51,697.68,02/01/20,7,Tienda departamental,Cancún,En proceso,False,0.0,20.93,False,2018,Huawei,Movistar
156,157,3069,F,27000,51,197.48,02/01/20,7,Compra en línea,Guadalajara,Aceptada,False,0.0,5.92,False,2016,Samsung,Telcel
157,158,3123,M,43000,42,686.75,02/01/20,7,Compra en línea,Monterrey,En proceso,False,0.0,20.6,False,2020,Huawei,Telcel
158,159,3168,F,94000,55,754.27,02/01/20,7,Tienda departamental,Monterrey,En proceso,True,0.0,22.63,False,2021,Huawei,Telcel
159,160,3255,M,66000,41,773.62,02/01/20,7,Compra en línea,Ciudad de México,Aceptada,False,0.0,23.21,False,2020,Huawei,ATT
160,161,3339,F,78000,58,253.15,02/01/20,7,Farmacia,Nezahualcóyotl,Aceptada,False,0.0,7.59,False,2020,Samsung,Telcel
161,162,3576,F,55000,48,509.68,02/01/20,7,Supermercado,Nezahualcóyotl,En proceso,False,0.0,15.29,False,2016,Motorola,Telcel
162,163,3659,M,29000,59,574.85,02/01/20,7,Tienda departamental,Monterrey,Aceptada,False,28.74,17.25,False,2020,Motorola,Movistar
163,164,3682,M,78000,37,560.89,02/01/20,7,Supermercado,Ciudad de México,Aceptada,True,0.0,16.83,False,2020,Huawei,Movistar
164,165,3698,F,73000,45,498.47,02/01/20,7,Supermercado,Guadalajara,Aceptada,False,0.0,14.95,False,2020,Samsung,Telcel
165,166,3810,N,30000,36,586.16,02/01/20,7,Tienda departamental,Nezahualcóyotl,Aceptada,True,0.0,17.58,False,2017,Apple,Telcel
166,167,3866,M,93000,45,307.8,02/01/20,7,Abarrotes,Guadalajara,En proceso,False,0.0,9.23,False,2021,Motorola,Movistar
167,168,13,F,34000,48,371.69,02/01/20,8,Unknown,Tijuana,Aceptada,True,0.0,11.15,False,2022,Samsung,Movistar
168,169,36,N,94000,42,874.41,02/01/20,8,Supermercado,Ciudad de México,Rechazada,False,0.0,26.23,False,2021,Motorola,Telcel
169,170,38,F,39000,34,552.14,02/01/20,8,Tienda departamental,Guadalajara,Aceptada,False,0.0,16.56,False,2022,Huawei,Telcel
170,171,100,M,98000,43,1079.48,02/01/20,8,Tienda departamental,Tijuana,Aceptada,False,0.0,32.38,False,2021,Samsung,ATT
171,172,128,M,99000,56,885.15,02/01/20,8,Compra en línea,Monterrey,Aceptada,False,0.0,26.55,False,2019,Huawei,ATT
172,173,169,F,28000,63,367.43,02/01/20,8,Unknown,Ciudad de México,Aceptada,False,0.0,18.37,False,2020,Apple,Telcel
173,174,196,M,66000,58,227.78,02/01/20,8,Supermercado,Ciudad de México,Aceptada,False,0.0,6.83,False,2021,Apple,Telcel
174,175,574,F,50000,34,183.46,02/01/20,8,Compra en línea,Toluca,Aceptada,True,0.0,5.5,False,2020,Huawei,ATT
175,176,578,M,77000,41,188.06,02/01/20,8,Tienda departamental,Nezahualcóyotl,Aceptada,False,0.0,5.64,False,2020,Huawei,Telcel
176,177,621,F,37000,52,357.11,02/01/20,8,Unknown,Guadalajara,Aceptada,False,0.0,17.86,True,2019,Samsung,ATT
177,178,691,F,82000,57,1.0,02/01/20,8,Compra en línea,Monterrey,Aceptada,False,0.0,0.03,False,2021,Apple,ATT
178,179,726,M,87000,34,241.41,02/01/20,8,Compra en línea,Monterrey,En proceso,True,0.0,7.24,False,2018,Apple,Telcel
179,180,732,N,86000,49,1182.79,02/01/20,8,Compra en línea,Nezahualcóyotl,Aceptada,True,0.0,59.14,False,2021,Samsung,Movistar
180,181,751,N,65000,64,328.97,02/01/20,8,Supermercado,Toluca,Aceptada,False,16.45,9.87,False,2021,Samsung,ATT
181,182,785,F,46000,51,473.32,02/01/20,8,Compra en línea,Nezahualcóyotl,Aceptada,False,0.0,23.67,False,2022,Motorola,ATT
182,183,802,F,61000,45,766.81,02/01/20,8,Unknown,Monterrey,Aceptada,False,38.34,23.0,False,2019,Motorola,Telcel
183,184,879,M,34000,32,614.36,02/01/20,8,Supermercado,Toluca,Rechazada,False,0.0,18.43,False,2019,Motorola,Telcel
184,185,899,M,84000,59,1.0,02/01/20,8,Unknown,Monterrey,Aceptada,False,0.05,0.03,False,2020,Motorola,ATT
185,186,987,M,70000,42,644.84,02/01/20,8,Abarrotes,Monterrey,Aceptada,False,0.0,19.35,False,2020,Samsung,ATT
186,187,1000,N,72000,52,1.0,02/01/20,8,Compra en línea,Ciudad de México,Aceptada,False,0.0,0.03,False,2020,Huawei,Telcel
187,188,1052,F,73000,33,226.52,02/01/20,8,Supermercado,Guadalajara,Aceptada,False,0.0,11.33,False,2017,Samsung,Telcel
188,189,1057,N,37000,51,757.17,02/01/20,8,Abarrotes,Guadalajara,En proceso,False,0.0,37.86,False,2020,Samsung,Movistar
189,190,1097,M,77000,43,549.14,02/01/20,8,Abarrotes,Nezahualcóyotl,Aceptada,False,0.0,16.47,False,2020,Samsung,Telcel
190,191,1174,N,99000,53,420.2,02/01/20,8,Compra en línea,Monterrey,Aceptada,True,0.0,12.61,False,2019,Samsung,Telcel
191,192,1398,N,42000,38,758.57,02/01/20,8,Farmacia,Toluca,En proceso,False,0.0,37.93,False,2015,Huawei,ATT
192,193,1594,F,91000,40,608.74,02/01/20,8,Supermercado,Guadalajara,Aceptada,False,30.44,18.26,False,2016,Apple,Telcel
193,194,1760,F,71000,59,654.15,02/01/20,8,Supermercado,Guadalajara,Aceptada,False,0.0,19.62,False,2022,Apple,Movistar
194,195,1821,M,28000,44,631.89,02/01/20,8,Compra en línea,Nezahualcóyotl,Aceptada,False,0.0,18.96,False,2021,Huawei,Movistar
195,196,1987,M,28000,41,275.78,02/01/20,8,Tienda departamental,Ciudad de México,Aceptada,False,0.0,19.3,False,2022,Huawei,Telcel
196,197,2023,M,33000,40,781.49,02/01/20,8,Compra en línea,Nezahualcóyotl,Aceptada,False,0.0,23.44,False,2018,Huawei,Telcel
